Temperature,Soil,pH,WaterRedox,logWRedox,SedRedox,depth,weight,NO3.ugL,NH3.ugL,logNH3,SRP.ugL,logSRP,TDP.ugL,logTDP,TP.ugL,Fe.mgL,logFe,Ca.mgL,logCa,S.mgL,Si.mgL,Na.mgL,Mg.mgL,LogS,logSi,logNa,logMg,Al.mgL,K.mgL,logAl,logK
7 deg,permafrost,5.53,369.9,2.56808433,317.9,40,150.77,5.441,85.337,1.93113737,3.26256,0.51355851,9.3579,0.9711784,27.3231,0.1871,-0.7279262,0.315,-0.5016894,0.0001,0.07793241,0.44366975,0.21737668,-4,-1.1082819,-0.3529402,-0.662787,0.011,0.0597,-1.9586073,-1.2240257
7 deg,permafrost,5.33,355.9,2.55132799,308.9,42.5,129.82,7.962,241.183,2.38234669,1.83288,0.26313403,9.3579,0.9711784,19.1571,0.1746,-0.7579558,0.2529,-0.5970512,0.0001,0.06776024,0.4174028,0.18478903,-4,-1.1690251,-0.3794446,-0.7333238,0.01111,0.1064,-1.9542859,-0.9730584
7 deg,permafrost,5.3,368.9,2.56690866,280.9,60.5,179.32,13.003,289.401,2.46150003,1.83288,0.26313403,6.0915,0.78472425,19.1571,0.1765,-0.7532553,0.2973,-0.5268051,0.0001,0.05672925,0.35326155,0.20661384,-4,-1.246193,-0.4519036,-0.6848406,0.02105,0.0734,-1.6767479,-1.1343039
7 deg,permafrost,5.44,366.9,2.56454771,277.9,45,116.1,13.003,217.074,2.33660781,2.54772,0.4061517,9.3579,0.9711784,19.1571,0.1561,-0.8065971,0.1607,-0.7939841,0.0001,0.0665162,0.21699203,0.10171159,-4,-1.1770726,-0.6635562,-0.9926296,0.0259544,0.0347,-1.585789,-1.4596705
7 deg,permafrost,5.35,353.9,2.54888056,281.9,76,158.5,15.524,270.458,2.43209983,2.1903,0.3405036,10.9911,1.04104116,12.6243,0.3236,-0.4899915,0.5602,-0.2516569,0.00255993,0.07381406,0.48650287,0.29536509,-2.5917712,-1.1318609,-0.3129146,-0.5296408,0.02149,0.104,-1.6677636,-0.9829667
7 deg,permafrost,5.13,349.9,2.54394394,287.9,53,117.6,13.003,553.737,2.74330354,3.61998,0.55870617,9.3579,0.9711784,17.5239,0.2789,-0.5545515,0.6116,-0.2135325,0.02859074,0.03880406,0.46217725,0.29388642,-1.5437746,-1.4111228,-0.3351914,-0.5318205,0.00873,0.0672,-2.0589858,-1.1726307
17 deg,permafrost,5.9,277,2.44247977,241,46.5,135.38,7.448,336.758,2.52731792,4.46644,0.6499615,23.8738,1.37792155,17.4346,0.5687,-0.2451168,0.9189,-0.0367317,0.13231459,0.21159856,0.83060594,0.50536223,-0.8783923,-0.6744873,-0.080605,-0.2963972,0.03405,0.5455,-1.4678829,-0.2632052
17 deg,permafrost,5.63,270.5,2.43216727,216.5,50.5,127.22,4.544,1555.115,3.19176251,10.97476,1.04039503,29.943,1.47629531,18.9313,2.6458,0.42255701,1.9093,0.28087417,0.24424306,0.29614909,1.04394051,1.03756091,-0.6121778,-0.5284896,0.01867575,0.0160136,0.0401,0.3884,-1.3968556,-0.4107208
17 deg,permafrost,5.64,280.5,2.44793287,238.5,56,109.4,4.544,745.747,2.87259151,3.11054,0.49283579,19.3219,1.28604983,21.9247,1.6544,0.21864052,1.3999,0.14609701,0.16063339,0.17044652,0.76856224,0.68367029,-0.7941642,-0.7684119,-0.114321,-0.1651533,0.02257,0.2145,-1.6464684,-0.6685727
17 deg,permafrost,5.56,276.5,2.44169514,224.5,49.5,133.86,4.544,1482.789,3.17107936,13.95774,1.1448151,29.943,1.47629531,36.8917,2.3026,0.3622185,2.2067,0.3437433,0.63923591,0.25956683,1.1565707,1.28190685,-0.1943388,-0.5857508,0.06317218,0.10785647,0.02527,0.4131,-1.5973948,-0.3839448
17 deg,permafrost,5.65,270.5,2.43216727,233,49.5,120.57,5.996,694.085,2.84141266,3.6529,0.56263778,25.3911,1.40468152,15.9379,1.6682,0.22224812,0.9351,-0.0291419,0.19416065,0.23034485,0.83085189,0.46551768,-0.7118388,-0.6376215,-0.0804764,-0.3320638,0.03677,0.253,-1.4345064,-0.5968795
17 deg,permafrost,5.54,282.5,2.45101845,216,53.5,136.58,7.448,2174.196,3.33729869,8.80532,0.94474514,28.4257,1.45371117,17.4346,2.8722,0.45821468,1.5318,0.18520207,0.34664545,0.24377134,0.9725422,0.82948918,-0.4601145,-0.6130174,-0.0120915,-0.0811893,0.07744,0.3151,-1.1110347,-0.5015516
7 deg,active layer,5.19,350.9,2.54518337,306.9,20,139.77,9.222,146.47,2.16574868,0.76062,-0.1188323,7.7247,0.88788162,14.2575,0.1772,-0.7515363,0.1186,-0.9259153,0.04584022,0.06067269,0.56822326,0.10001366,-1.3387533,-1.2170067,-0.245481,-0.9999407,0.00419,0.0543,-2.377786,-1.2652002
7 deg,active layer,5.4,338.9,2.53007157,307.9,1,136.07,10.482,215.352,2.33314891,0.975072,-0.010963315,11.97102,1.078131156,,0.3659,-0.4366376,0.3726,-0.4287571,0.32701888,0.09940764,1.05536839,0.31816686,-0.4854272,-1.0025803,0.02340408,-0.4973451,0.02734,1.6993,-1.5632015,0.23027006
7 deg,active layer,5.38,360.9,2.55738688,276.9,32.5,191.6,7.962,174.023,2.24060665,1.11804,0.04845734,12.6243,1.10120731,17.5239,0.168,-0.7746907,0.2657,-0.5756084,0.0001,0.09903366,0.51727413,0.14707768,-4,-1.0042172,-0.2862792,-0.8324532,0.00513,0.0504,-2.2898826,-1.2975695
7 deg,active layer,5.19,362.9,2.55978697,297.9,28.5,119.31,6.702,108.585,2.03576984,1.11804,0.04845734,14.2575,1.15404338,19.1571,0.0525,-1.2798407,0.1178,-0.9288547,0.00369373,0.0480946,0.38345939,0.10591582,-2.4325349,-1.3179037,-0.4162806,-0.9750392,0.0075,0.067,-2.1249387,-1.1739252
7 deg,active layer,5.25,360.9,2.55738688,276.9,32,128.04,6.702,264.431,2.42231237,1.11804,0.04845734,12.6243,1.10120731,15.8907,0.1646,-0.7835702,0.2138,-0.6699923,0.0001,0.05499214,0.43633582,0.17087791,-4,-1.2596994,-0.3601791,-0.7673141,0.003688,0.0238,-2.4332091,-1.623423
7 deg,active layer,5.24,355.9,2.55132799,275.9,35.5,175.54,7.962,77.588,1.88979456,0.76062,-0.1188323,12.6243,1.10120731,30.5895,0.181,-0.7423214,0.1836,-0.7361273,0.0001,0.06465243,0.49441745,0.13552505,-4,-1.1894151,-0.3059062,-0.8679804,0.00179,0.0353,-2.747147,-1.4522253
17 deg,active layer,5.27,343.9,2.53643218,326.9,32,154.18,13.003,243.766,2.38697313,3.26256,0.51355851,20.7903,1.31786076,28.9563,0.1959,-0.7079656,0.2441,-0.6124322,0.08961824,0.31839927,1.28578689,0.19968534,-1.0476036,-0.4970279,0.10916899,-0.6996538,0.07072,0.1329,-1.1504577,-0.876475
17 deg,active layer,5.33,347.9,2.54145443,308.9,33,165.95,16.784,114.612,2.05923009,1.83288,0.26313403,15.8907,1.20114303,25.6899,0.2485,-0.6046736,0.4478,-0.3489159,0.05552096,0.33595496,1.30372529,0.27001752,-1.2555431,-0.4737189,0.11518609,-0.5686081,0.04893,0.1386,-1.3104248,-0.8582368
17 deg,active layer,5.36,343.9,2.53643218,317.9,22.5,164.33,13.003,160.247,2.20478991,1.11804,0.04845734,20.7903,1.31786076,24.0567,0.4611,-0.3362049,0.5951,-0.22541,0.25382512,0.26544116,1.59101081,0.36790632,-0.5954654,-0.5760317,0.20167313,-0.4342628,0.05172,0.1398,-1.2863415,-0.8544928
17 deg,active layer,5.48,338.9,2.53007157,302.9,30,222.75,10.482,81.032,1.90865656,1.83288,0.26313403,15.8907,1.20114303,19.1571,0.0302,-1.5199931,0.681,-0.1668529,0.08354331,0.49194724,1.36012908,0.36414924,-1.0780883,-0.3080815,0.13358013,-0.4387206,0.08334,0.2016,-1.0791465,-0.6955095
17 deg,active layer,5.45,335.9,2.52621,311.9,26,147.8,11.743,217.936,2.33832898,2.54772,0.4061517,20.7903,1.31786076,25.6899,0.284,-0.5466817,0.5304,-0.2753965,0.05707007,0.45638529,1.06276804,0.36897028,-1.2435916,-0.3406684,0.02643848,-0.4330086,0.0965,0.2396,-1.0154727,-0.6205132
17 deg,active layer,5.46,343.9,2.53643218,326.9,3.5,111.35,11.743,316.093,2.49981488,2.118816,0.326093244,18.83046,1.274860929,,0.3842,-0.4154426,0.3866,-0.4127382,0.32284931,0.10463406,1.15588281,0.37300753,-0.4910001,-0.9803269,0.0629138,-0.4282824,0.02905295,2.4667,-1.5368098,0.39211633
