Sample_ID,Plant_Type,Treatment,Replicate,Date,Roots,Shoots,root_diam_mean,root_length,root_area,root_tip_count,root_Pi,shoot_Pi,biomass_Pi,TOC_m,MBC_m
WLP_1,Wild Type,Low P,1,11/8/2022,0.0315,0.1938,0.022024099,249.54755,1275.9203,116,1.530583587,0.956904458,2.487488045,6.840378312,4.965465307
WLP_2,Wild Type,Low P,2,11/8/2022,0.0255,0.2162,0.0230863,324.29303,1452.9929,149,1.347395553,0.110583711,1.457979264,6.130896963,6.91228555
36LP_1,ptxDNt-36,Low P,1,11/8/2022,0.0546,0.206,0.02942634,415.20566,2446.5312,212,0.765339083,0.732017348,1.497356432,7.77558994,1.300515052
36LP_2,ptxDNt-36,Low P,2,11/8/2022,0.0069,0.0331,0.018707488,143.75824,674.7034,78,2.22350315,0.614041495,2.837544645,6.418,3.049
WON_1,Wild Type,Control,1,11/8/2022,0.0743,0.4978,0.020943621,334.2861,1470.0204,214,1.149118881,1.730339193,2.879458073,9.259779564,9.622429946
WON_2,Wild Type,Control,2,11/8/2022,0.054,1.0671,0.022589954,493.59216,2634.2937,268,1.996890204,1.782965739,3.779855943,9.172997372,9.375552205
36ON_1,ptxDNt-36,Control,1,11/8/2022,0.0533,0.4511,0.027747396,524.83484,2772.257,216,1.648497192,1.797670348,3.44616754,6.179279244,5.988575255
36ON_2,ptxDNt-36,Control,2,11/8/2022,0.0748,0.6045,0.021864466,487.56418,2265.8928,230,1.435882853,0.160180198,1.596063051,7.20674358,6.309870886
36Phi_1,ptxDNt-36,Phi,1,11/8/2022,0.0419,0.1776,0.017736673,232.29507,1503.0195,146,0.82141683,0.177741671,0.999158501,6.857483704,7.703568784
36Phi_2,ptxDNt-36,Phi,2,11/8/2022,0.0708,1.0826,0.027020069,417.51678,2244.572,195,1.110670069,1.434702848,2.545372917,6.687211669,5.142092595
WPM_1,Wild Type,Pi/Phi mix,1,11/8/2022,0.0132,0.0986,0.02300506,199.94011,919.75854,96,0.345034495,0.771210083,1.116244578,7.249853523,4.402183692
WPM_2,Wild Type,Pi/Phi mix,2,11/8/2022,0.0203,0.2139,0.030231731,263.59222,635.7224,82,3.241739596,0.382363423,3.624103019,6.709847989,3.034208333
36PM_1,ptxDNt-36,Pi/Phi mix,1,11/8/2022,0.1432,1.6808,0.024754293,621.0707,3197.5854,316,1.431775224,1.655523,3.087298224,9.308043788,9.957280567
36PM_2,ptxDNt-36,Pi/Phi mix,2,11/8/2022,0.0513,0.4656,0.031085152,455.71103,1213.8207,144,1.319232053,2.602659708,3.921891761,5.692107732,8.098107906
NPLP_1,No Plant,Low P,C,11/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.785347814,2.985106932
NPON_1,No Plant,Control,C,11/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.128543442,3.403130954
NPPhi_1,No Plant,Phi,C,11/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.497072083,3.486001458
NPPM_1,No Plant,Pi/Phi mix,C,11/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.131400473,1.725908405
WLP 3,Wild Type,Low P,3,22/9/2022,0.0229,0.0741,0.016635329,166.39522,615.13446,81,1.380563243,0.802967265,2.183530508,6.13323919,5.293105375
WLP 4,Wild Type,Low P,4,22/9/2022,0.0158,0.0289,0.01840887,142.10078,524.84393,62,1.677291678,1.029058152,2.70634983,6.415721778,5.778329196
36LP 3,ptxDNt-36,Low P,3,22/9/2022,0.0302,0.0616,0.019744748,135.3915,489.7528,91,1.354605668,0.744762857,2.099368525,6.639522263,3.564829597
36LP 4,ptxDNt-36,Low P,4,22/9/2022,0.0383,0.0605,0.020090602,187.79977,739.27136,69,1.511129602,0.775636067,2.286765669,5.930617697,2.54370319
WON 3,Wild Type,Control,3,22/9/2022,0.0396,0.1701,0.019027589,301.22662,1201.9353,155,1.233636411,1.869938527,3.103574939,6.012406029,3.995581242
WON 4,Wild Type,Control,4,22/9/2022,0.0308,0.1409,0.015432979,104.135124,451.77744,52,0.581095029,1.586442237,2.167537266,6.626856685,2.869719995
36ON 3,ptxDNt-36,Control,3,22/9/2022,0.0675,0.1662,0.021337565,307.62485,1455.4802,139,0.784324745,1.260387091,2.044711836,5.767522986,1.360288106
36ON 4,ptxDNt-36,Control,4,22/9/2022,0.0518,0.1083,0.020634016,300.94962,1122.9733,143,0.313243451,0.285935069,0.59917852,5.773482174,2.413379689
36Phi 3,ptxDNt-36,Phi,3,22/9/2022,0.076,0.2391,0.017597964,334.14917,1421.3159,159,0.915641183,1.591996789,2.507637972,7.430164267,3.841831031
36Phi 4,ptxDNt-36,Phi,4,22/9/2022,0.0627,0.1071,0.017764265,338.05777,1462.9252,199,0.889987817,1.926459197,2.816447014,8.055824732,3.655754861
WPM 3,Wild Type,Pi/Phi mix,3,22/9/2022,0.0234,0.0808,0.01997123,140.57507,643.80707,68,1.729635512,1.257381232,2.987016744,5.596726109,6.055852909
WPM 4,Wild Type,Pi/Phi mix,4,22/9/2022,0.0171,0.0165,0.013404588,26.77652,109.48344,23,0.009817272,1.573066253,1.582883525,5.873603719,3.691416296
36PM 3,ptxDNt-36,Pi/Phi mix,3,22/9/2022,0.0755,0.3312,0.022681277,552.5012,2480.9397,217,2.347891382,2.513697366,4.861588748,6.282940471,6.825631935
36PM 4,ptxDNt-36,Pi/Phi mix,4,22/9/2022,0.1519,0.3863,0.019986024,454.83353,2327.9204,210,0.959664485,2.987754483,3.947418968,6.433020699,6.02553762
NPLP 2,No Plant,Low P,C,22/9/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.304755052,0.926467923
NPON 2,No Plant,Control,C,22/9/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.811278928,0.786165635
NPPhi 2,No Plant,Phi,C,22/9/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.371360868,0.232330901
NPPM 2,No Plant,Pi/Phi mix,C,22/9/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.960123818,1.44122265
WLP 5,Wild Type,Low P,5,8/11/2022,0.0055,0.0327,0.016538093,86.673584,303.7394,51,0.707759411,0.23069704,0.938456451,10.01241183,6.283812264
WLP 6,Wild Type,Low P,6,8/11/2022,0.0131,0.019,0.021306047,111.47663,516.8482,120,0.039613469,0.379604775,0.419218244,9.102411342,6.269284635
36LP 5,ptxDNt-36,Low P,5,8/11/2022,0.0078,0.0231,0.019258138,112.58292,500.84033,107,1.01981353,0.018364486,1.038178016,7.634942551,4.394921063
36LP 6,ptxDNt-36,Low P,6,8/11/2022,0.0219,0.0592,0.016563183,134.58366,474.8098,63,0.868098798,0.434949189,1.303047987,7.679757081,5.344656619
WON 5,Wild Type,Control,5,8/11/2022,0.038,0.1747,0.017764902,390.2808,1471.9542,162,1.060838663,0.629564349,1.690403012,8.235516438,2.174063675
WON 6,Wild Type,Control,6,8/11/2022,0.0489,0.0992,0.02183568,388.38525,1725.627,289,1.008706701,0.553877137,1.562583838,9.867701972,3.64464137
36ON 5,ptxDNt-36,Control,5,8/11/2022,0.0531,0.1453,0.023262277,418.38562,1772.3846,268,1.279984408,0.952226472,2.23221088,8.759284664,4.101085986
36ON 6,ptxDNt-36,Control,6,8/11/2022,0.0813,0.2029,0.020401385,523.27155,2348.0115,413,1.24636586,0.533626953,1.779992813,8.326506865,4.26198137
36Phi 5,ptxDNt-36,Phi,5,8/11/2022,0.0665,0.1582,0.08629931,461.19214,2266.5823,184,1.236335316,1.206731984,2.4430673,8.446879453,3.30431953
36Phi 6,ptxDNt-36,Phi,6,8/11/2022,0.0423,0.0915,0.020990597,301.05423,1258.5415,252,0.881798504,0.539828659,1.421627163,7.178077303,1.457267781
WPM 5,Wild Type,Pi/Phi mix,5,8/11/2022,0.0102,0.0229,0.01406484,72.21264,258.83395,34,0.286974395,0.523536565,0.81051096,7.799419439,5.171433884
WPM 6,Wild Type,Pi/Phi mix,6,8/11/2022,0.0106,0.0234,0.015455164,77.23358,326.0275,39,2.155992035,0.755730453,2.911722488,7.035094461,4.609994807
36PM 5,ptxDNt-36,Pi/Phi mix,5,8/11/2022,0.1644,0.3411,0.023288611,626.5492,2904.1255,272,1.402748334,0.137757218,1.540505552,9.63990419,5.865502631
36PM 6,ptxDNt-36,Pi/Phi mix,6,8/11/2022,0.2791,0.6314,0.021913456,633.70593,2931.1155,317,0.749607815,0.217926369,0.967534184,9.822040387,8.863369388
NPLP 3,No Plant,Low P,C,8/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.000069657,3.29913443
NPON 3,No Plant,Control,C,8/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.376083788,0.57067512
NPPhi 3,No Plant,Phi,C,8/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.597467348,0.63489354
NPPM 3,No Plant,Pi/Phi mix,C,8/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.434269,0.082266706
WTPhi1,Wild Type,Phi,1,6/2/2023,0.0018,0.0021,0,0,0,0,0,0,0,NA,NA
WTPhi2,Wild Type,Phi,2,6/2/2023,9.00E-04,0.0015,0,0,0,0,0,0,0,NA,NA
WTPhi3,Wild Type,Phi,3,6/2/2023,0.0023,0.0031,0,0,0,0,0,0,0,NA,NA
WTPhi4,Wild Type,Phi,4,6/3/2023,0.0011,0.0016,0,0,0,0,0,0,0,NA,NA
WTPhi5,Wild Type,Phi,5,6/3/2023,0.0015,0.0022,0,0,0,0,0,0,0,NA,NA
WTPhi6,Wild Type,Phi,6,6/3/2023,0.0027,0.0038,0,0,0,0,0,0,0,NA,NA
